year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;X3;Xs
1977;12.12.1976;0;37;20.02.1977;149;202;18.04.1977;60;131;103;115;88
1978;26.11.1977;112;128;25.02.1978;92;215;21.03.1978;123;18;18;123;124
1979;02.12.1978;157;196;05.03.1979;96;272;02.04.1979;137;28;31;152;133
1980;12.12.1979;64;103;25.03.1980;71;226;09.04.1980;108;16;41;105;84
1981;31.10.1980;34;44;20.02.1981;156;219;14.03.1981;156;21;18;225;156
1982;26.11.1981;101;101;28.02.1982;121;219;02.04.1982;160;21;19;194;160
1983;03.02.1983;21;23;10.02.1983;62;212;01.04.1983;12;91;86;159;17
1984;12.11.1983;60;67;10.02.1984;78;177;07.04.1984;150;24;23;69;152
1985;11.11.1984;71;85;15.03.1985;58;227;07.04.1985;103;16;29;151;96
1986;15.11.1985;142;142;28.02.1986;68;218;04.04.1986;77;13;13;124;77
1987;08.12.1986;90;104;15.02.1987;86;230;03.04.1987;69;60;49;65;80
1988;04.12.1987;28;52;20.03.1988;96;216;28.03.1988;148;27;55;140;121
1989;27.11.1988;0;41;20.12.1988;90;110;04.03.1989;37;100;3;148;130
1991;16.12.1990;45;50;25.02.1991;115;166;30.03.1991;65;22;17;195;71
1992;04.12.1991;0;20;10.02.1992;121;148;05.03.1992;65;39;3;108;101
1993;17.12.1992;20;23;10.03.1993;72;185;24.03.1993;90;24;24;191;89
1994;09.11.1993;28;43;05.03.1994;112;247;14.03.1994;199;14;23;149;191
1995;14.12.1994;0;12;20.12.1994;154;160;02.03.1995;6;93;0;187;99
1996;03.11.1995;145;148;15.03.1996;85;231;16.04.1996;167;21;29;140;160
1999;09.11.1998;38;66;25.02.1999;109;240;30.03.1999;133;73;65;252;137
2001;19.12.2000;23;46;05.02.2001;139;166;21.03.2001;89;58;31;105;115
2003;30.11.2002;32;49;05.03.2003;79;214;22.03.2003;96;14;24;191;85
2004;23.12.2003;63;83;05.02.2004;172;233;27.03.2004;104;107;38;140;172
2005;16.01.2005;47;116;15.03.2005;107;201;01.04.2005;97;20;60;141;56
2006;19.11.2005;21;56;25.03.2006;86;230;07.04.2006;158;25;58;83;127
2007;23.01.2007;61;62;25.02.2007;106;192;13.03.2007;52;20;12;114;63
2008;22.12.2007;0;12;25.03.2008;120;140;09.03.2008;140;0;26;118;86
2009;13.12.2008;13;46;20.01.2009;101;183;11.04.2009;35;112;49;155;97
2010;10.12.2009;67;141;15.02.2010;152;275;26.03.2010;112;46;26;182;136
2011;26.11.2010;15;77;31.12.2010;153;171;01.04.2011;65;90;13;102;140
2012;14.01.2012;23;56;20.02.2012;145;171;20.03.2012;49;53;20;107;79
2013;02.12.2012;100;149;25.03.2013;94;263;18.04.2013;205;33;81;161;157
2015;18.11.2014;1;21;10.02.2015;131;160;09.03.2015;122;22;11;148;133
2017;28.12.2016;0;123;20.01.2017;180;205;04.03.2017;37;33;8;242;65
2018;08.01.2018;25;68;05.03.2018;144;229;10.04.2018;72;29;51;198;56
2019;21.11.2018;0;59;31.01.2019;130;175;19.03.2019;108;58;40;150;126
2021;06.12.2020;26;77;10.02.2021;145;186;11.03.2021;156;20;8;114;167
